"trans_id","prop_address","prop_city","prop_zip","prop_latitude","prop_longitude","prop_census","parcel_id","sale_date","sale_price","lot_sqft","property_land_use","year_built","total_bedrooms","total_baths","airconditioning_type","prop_fireplace","prop_sqft","year","building_age"
565647328,"35 E 68th St","Manhattan",10065,40.769107,-73.966757,360610122001001,201162916,2022-01-20,1995000,NA,107,1910,3,2,NA,NA,1700,2022,112
565647329,"345 W 14th St","Manhattan",10014,40.74087,-74.004444,360610083002002,90519616,2022-01-20,1850000,NA,106,1960,NA,NA,NA,NA,892,2022,62
565647331,"170 W 23rd St","Manhattan",10011,40.743579,-73.995436,360610091001004,90523738,2022-03-08,812000,NA,106,1973,NA,NA,NA,NA,600,2022,49
565647332,"1 Morton Sq","Manhattan",10014,40.730875,-74.009804,360610069001009,90513364,2022-03-11,3550000,NA,106,2002,NA,NA,NA,NA,1693,2022,20
565647333,"277 5th Ave","Manhattan",10016,40.745634,-73.986201,360610074003002,184158286,2022-03-09,1740000,7308,106,2017,NA,NA,NA,NA,848,2022,5
565647335,"75 Bank St","Manhattan",10014,40.736872,-74.00502,360610077004002,90515521,2022-03-24,720854,15200,107,1939,NA,NA,NA,NA,75154,2022,83
565647340,"301 E 22nd St","Manhattan",10010,40.737105,-73.980794,360610064005000,157762412,2022-02-12,295522,NA,107,1965,NA,NA,NA,NA,NA,2022,57
565647343,"300 E 74th St","Manhattan",10021,40.769846,-73.95717,360610126006000,201162926,2022-03-31,1376000,NA,107,1967,2,2,NA,NA,NA,2022,55
565647346,"241 E 76th St","Manhattan",10021,40.772073,-73.957726,360610134002000,158431553,2022-04-01,495000,NA,107,1959,1,1,NA,NA,NA,2022,63
565647349,"153 E 57th St","Manhattan",10022,40.760779,-73.968054,360610112031001,201162904,2022-03-23,449000,NA,107,1960,NA,1,NA,NA,NA,2022,62
565647351,"205 EAST 77TH STREET # PHA","Manhattan",10075,NA,NA,NA,157767627,2022-04-05,1130000,NA,107,1962,2,1,NA,NA,NA,2022,60
565647355,"275 Greenwich St","Manhattan",10007,40.715173,-74.010922,360610021002004,90491239,2022-03-31,1020000,NA,106,1987,NA,NA,NA,NA,697,2022,35
565647356,"360 E 72nd St","Manhattan",10021,40.76778,-73.956344,360610126005000,201162924,2022-03-25,999000,NA,107,1963,1,1,NA,NA,NA,2022,59
565647357,"301 W 53rd St","Manhattan",10019,40.764509,-73.985128,360610133005000,158169169,2022-03-10,1700000,35000,106,1979,NA,NA,NA,NA,1040,2022,43
565647361,"420 E 58th St","Manhattan",10022,40.758411,-73.961662,360610106012000,90582883,2022-04-04,1150000,6532.5,106,1985,NA,NA,NA,NA,995,2022,37
565647363,"135 E 39th St","Manhattan",10016,40.749522,-73.976766,360610080001002,157690021,2022-04-04,540000,NA,107,1930,NA,NA,NA,NA,NA,2022,92
565647368,"60 W 20th St","Manhattan",10011,40.740657,-73.993904,360610054001002,90525773,2022-03-31,5400000,NA,106,1906,NA,NA,NA,NA,2134,2022,116
565647369,"425 E 51st St","Manhattan",10022,40.75433,-73.964715,360610086033000,157672278,2022-03-28,625000,NA,107,1928,1,1,NA,NA,NA,2022,94
