"","trans_id","prop_address","prop_city","prop_zip","prop_latitude","prop_longitude","prop_census","parcel_id","year","month","day","sale_price","trans_id.y","year_built","total_bedrooms","total_baths","age","prop_sqft"
"1568",404514401,"410 CENTRAL PARK W","NEW YORK","10025",40.794797,-73.962605,"360610189002002",157639780,2009,"10","13",920000,"64646509-0000-0000-8CDD-000000000000",1929,3,2,80,1600
"1569",404514405,"166 E 35TH ST","NEW YORK","10016",40.746614,-73.978532,"360610072007000",157639544,2009,"10","08",5e+05,"78636509-0000-0000-8CDD-000000000000",1957,1,1,52,750
"1570",404514407,"340 E 93RD ST","NEW YORK","10128",40.78131,-73.946485,"360610154003000",157639882,2009,"10","08",385000,"CA646509-0000-0000-8CDD-000000000000",1980,1,1,29,675
"1571",404514416,"345 E 93RD ST","NEW YORK","10128",40.781545,-73.946298,"360610154002000",157639559,2009,"10","14",445000,"87636509-0000-0000-8CDD-000000000000",1974,1,1,35,700
"1572",404514421,"231 W 21ST ST","NEW YORK","10011",40.743331,-73.997438,"360610087004000",157639585,2005,"06","15",615000,"A1636509-0000-0000-8CDD-000000000000",1899,2,1,106,650
"1573",404514432,"67 PARK TER E","NEW YORK","10034",40.87087,-73.916243,"360610307002001",157639953,2006,"09","20",560000,"11656509-0000-0000-8CDD-000000000000",1939,3,2,67,1125
"1574",404514435,"140 W 69TH ST","NEW YORK","10023",40.775703,-73.981101,"360610153002000",157621044,2009,"09","08",550000,"341B6509-0000-0000-8CDD-000000000000",1905,1,1,104,675
"1575",404514440,"151 W 28TH ST","NEW YORK","10001",40.746772,-73.991885,"360610095001001",157639824,2009,"10","01",1280000,"90646509-0000-0000-8CDD-000000000000",1922,3,2,87,1800
"1576",404514452,"60 SUTTON PL S","NEW YORK","10022",40.755378,-73.962359,"360610086031000",157639752,2009,"10","08",635000,"48646509-0000-0000-8CDD-000000000000",1951,1,1,58,800
"1577",404514471,"105 5TH AVE","NEW YORK","10003",40.738249,-73.991776,"360610052002003",158424492,2009,"10","08",1020161,"AC5D7109-0000-0000-8CDD-000000000000",1907,1,1.5,102,1500
"1578",404514514,"1025 5TH AVE","NEW YORK","10028",40.779889,-73.961409,"360610142006000",157639980,2009,"09","30",1398000,"2C656509-0000-0000-8CDD-000000000000",1955,2,2,54,1400
"1579",404514524,"11 W 81ST ST","NEW YORK","10024",40.782319,-73.972045,"360610165001000",157639503,2009,"10","05",925000,"4F636509-0000-0000-8CDD-000000000000",1908,1,1.5,101,800
"1580",404514526,"160 E 72ND ST","NEW YORK","10021",40.77006,-73.961714,"360610128002000",158424490,2009,"10","15",5390000,"AA5D7109-0000-0000-8CDD-000000000000",1928,3,3.5,81,3500
"1581",404514532,"157 DUANE ST","NEW YORK","10013",40.71688,-74.008671,"360610033003022",157639563,2009,"10","15",1452500,"8B636509-0000-0000-8CDD-000000000000",1920,2,2,89,1700
"1582",404514536,"49 W 72ND ST","NEW YORK","10023",40.777055,-73.977574,"360610157002001",157640005,2009,"10","15",580000,"45656509-0000-0000-8CDD-000000000000",1930,1,1,79,700
"1583",404514543,"33 GREENWICH AVE","NEW YORK","10014",40.73502,-74.000375,"360610071004003",157639621,2009,"10","16",1182439,"C5636509-0000-0000-8CDD-000000000000",1961,2,2,48,1200
"1584",404514544,"205 W 54TH ST","NEW YORK","10019",40.763835,-73.98163,"360610137003003",157639847,2009,"10","14",815000,"A7646509-0000-0000-8CDD-000000000000",1903,2,2,106,1100
"1585",404514569,"200 E 90TH ST","NEW YORK","10128",40.781199,-73.952046,"360610154008000",157639916,2009,"10","16",1135000,"EC646509-0000-0000-8CDD-000000000000",1980,3,2,29,1300
"1586",404514588,"245 E 54TH ST","NEW YORK","10022",40.758013,-73.967815,"360610108007002",157639550,2009,"08","19",465000,"7E636509-0000-0000-8CDD-000000000000",1977,1,1,32,715
"1587",404514599,"320 CENTRAL PARK W","NEW YORK","10025",40.789053,-73.966798,"360610177005000",157639597,2009,"09","30",1030000,"AD636509-0000-0000-8CDD-000000000000",1931,2,2,78,1350
"1588",404514639,"142 E 16TH ST","NEW YORK","10003",40.734966,-73.987409,"360610050004000",157639769,2009,"10","07",550000,"59646509-0000-0000-8CDD-000000000000",1963,1,1,46,850
"1589",404514653,"211 E 35TH ST","NEW YORK","10016",40.746323,-73.977096,"360610078004000",157639486,2009,"10","08",525000,"3E636509-0000-0000-8CDD-000000000000",1929,1,1,80,850
"1590",404514663,"96 ARDEN ST","NEW YORK","10040",40.863755,-73.928504,"360610287002000",157639837,2009,"10","20",397500,"9D646509-0000-0000-8CDD-000000000000",1925,2,1,84,1100
"1591",404514673,"325 E 41ST ST","NEW YORK","10017",40.749053,-73.972077,"360610088006001",157639794,2009,"10","20",735000,"72646509-0000-0000-8CDD-000000000000",1929,2,2,80,1150
"1592",404514679,"771 W END AVE","NEW YORK","10025",40.796331,-73.97263,"360610183001000",157639604,2009,"10","13",1862500,"B4636509-0000-0000-8CDD-000000000000",1915,3,3,94,2000
"1593",404514695,"2 BEEKMAN PL","NEW YORK","10022",40.753002,-73.965255,"360610086034003",157639553,2009,"10","13",5e+05,"81636509-0000-0000-8CDD-000000000000",1931,1,1,78,780
"1594",404514706,"17 W 67TH ST","NEW YORK","10023",40.773391,-73.97876,"360610153007000",157639909,2009,"09","30",1755000,"E5646509-0000-0000-8CDD-000000000000",1930,3,2,79,1600
"1595",404514721,"49 E 96TH ST","NEW YORK","10128",40.78728,-73.953913,"360610160021000",157639899,2009,"10","15",595000,"DB646509-0000-0000-8CDD-000000000000",1929,1,1,80,950
"1596",404514734,"200 E 90TH ST","NEW YORK","10128",40.781199,-73.952046,"360610154008000",157640014,2009,"10","08",615000,"4E656509-0000-0000-8CDD-000000000000",1980,2,1,29,777
"1597",404514738,"70 E 10TH ST","NEW YORK","10003",40.731262,-73.990698,"360610057001001",157639870,2009,"10","21",1100000,"BE646509-0000-0000-8CDD-000000000000",1960,2,2,49,1500
"1598",404514752,"429 W 22ND ST","NEW YORK","10011",40.746324,-74.002619,"360610093007000",157639541,2009,"10","21",980000,"75636509-0000-0000-8CDD-000000000000",1850,2,2,159,1055
"1599",404514756,"12 BEEKMAN PL","NEW YORK","10022",40.753166,-73.965132,"360610086034003",157637516,2009,"10","22",580000,"8C5B6509-0000-0000-8CDD-000000000000",1957,1,1,52,900
"1600",404514766,"154 W 77TH ST","NEW YORK","10024",40.781174,-73.978056,"360610161001001",157639490,2009,"10","13",410000,"42636509-0000-0000-8CDD-000000000000",1900,1,1,109,600
"1601",404514783,"473 W END AVE","NEW YORK","10024",40.7868,-73.979592,"360610171005001",157639851,2009,"10","23",1575000,"AB646509-0000-0000-8CDD-000000000000",1929,2,2,80,1700
"1602",404514796,"505 E 79TH ST","NEW YORK","10075",40.771444,-73.950186,"360610136004000",157639818,2009,"10","15",365000,"8A646509-0000-0000-8CDD-000000000000",1963,1,1,46,625
"1603",404514806,"10 E 70TH ST","NEW YORK","10021",40.7708,-73.967531,"360610122004000",157639992,2009,"10","22",1400000,"38656509-0000-0000-8CDD-000000000000",1962,2,2.5,47,1800
"1604",404514828,"22 E 88TH ST","NEW YORK","10128",40.782389,-73.95878,"360610150023000",157639642,2009,"10","19",2275000,"DA636509-0000-0000-8CDD-000000000000",1927,3,2.5,82,2000
"1605",404514838,"1128 PARK AVE","NEW YORK","10128",40.783127,-73.955256,"360610150021000",157639963,2009,"10","26",3300000,"1B656509-0000-0000-8CDD-000000000000",1927,3,2,82,2432
"1606",404514844,"310 E 46TH ST","NEW YORK","10017",40.752163,-73.970199,"360610090002000",157639638,2009,"10","22",560000,"D6636509-0000-0000-8CDD-000000000000",1929,1,1,80,800
"1607",404514847,"50 E 89TH ST","NEW YORK","10128",40.782504,-73.957095,"360610150021002",157639962,2009,"10","14",1390000,"1A656509-0000-0000-8CDD-000000000000",1973,2,3,36,1400
"1608",404514848,"303 W 66TH ST","NEW YORK","10023",40.776216,-73.987334,"360610155005000",157639961,2009,"10","19",494500,"19656509-0000-0000-8CDD-000000000000",1962,1,1,47,750
"1609",404514862,"10 W 15TH ST","NEW YORK","10011",40.73675,-73.993631,"360610054003000",157639767,2009,"10","16",725000,"57646509-0000-0000-8CDD-000000000000",1964,2,1,45,900
"1610",404514864,"118 W 72ND ST","NEW YORK","10023",40.777551,-73.9795,"360610157007000",157639511,2009,"10","15",225000,"57636509-0000-0000-8CDD-000000000000",1915,1,1,94,400
"1611",404514865,"70 E 10TH ST","NEW YORK","10003",40.731262,-73.990698,"360610057001001",157639936,2009,"10","22",1200000,"00656509-0000-0000-8CDD-000000000000",1960,2,2,49,1500
"1612",404514866,"25 E END AVE","NEW YORK","10028",40.771301,-73.947213,"360610136005002",157639727,2009,"10","16",2300000,"2F646509-0000-0000-8CDD-000000000000",1928,3,4,81,2200
"1613",404514868,"240 W 23RD ST","NEW YORK","10011",40.744474,-73.996909,"360610091004000",157639785,2009,"10","14",1741000,"69646509-0000-0000-8CDD-000000000000",1920,2,2,89,1580
"1614",404514871,"70 PARK TER E","NEW YORK","10034",40.870697,-73.915958,"360610307001001",157639954,2009,"10","21",237000,"12656509-0000-0000-8CDD-000000000000",1956,1,1,53,750
"1615",404514906,"303 W 66TH ST","NEW YORK","10023",40.776216,-73.987334,"360610155005000",157639911,2009,"10","27",506800,"E7646509-0000-0000-8CDD-000000000000",1962,1,1,47,750
"1616",404514946,"900 W 190TH ST","NEW YORK","10040",40.857022,-73.93583,"360610273001001",157639838,2009,"10","22",284000,"9E646509-0000-0000-8CDD-000000000000",1954,1,1,55,630
"1617",404514950,"310 RIVERSIDE DR","NEW YORK","10025",40.800393,-73.971209,"360610191002000",157633741,2009,"10","27",318000,"CD4C6509-0000-0000-8CDD-000000000000",1929,1,1,80,417
"1618",404514952,"71 BARROW ST","NEW YORK","10014",40.731577,-74.005416,"360610067004001",157639481,2009,"10","15",715000,"39636509-0000-0000-8CDD-000000000000",1897,1,1,112,550
"1619",404520029,"3 E 69TH ST","NEW YORK","10021",40.770514,-73.968057,"360610122004000",157641686,2010,"07","21",1368627,"D66B6509-0000-0000-8CDD-000000000000",1938,1,1.5,72,1300
"1620",404520032,"210 E 36TH ST","NEW YORK","10016",40.746655,-73.976725,"360610078004000",157749696,2010,"07","22",410000,"C0116709-0000-0000-8CDD-000000000000",1960,1,1,50,750
"1621",404520039,"789 W END AVE","NEW YORK","10025",40.796904,-73.972215,"360610187002001",157642898,2010,"08","19",5e+05,"92706509-0000-0000-8CDD-000000000000",1916,1,1,94,600
"1622",404520049,"120 CABRINI BLVD","NEW YORK","10033",40.852104,-73.940128,"360610275002000",157624590,2010,"08","26",406000,"0E296509-0000-0000-8CDD-000000000000",1939,1,1,71,796
